ZIP Code,"Land Value
(1/4 Acre Lot, Standardized)","Land Value
(Per Acre, As-Is)",Land Share of Property Value,Lot Size,Interior Square Feet,Property Value (Standardized),Property Value (As-is)
1001,74600,184200,0.406,19400,1270,245000,202000
1002,114200,194100,0.43,27800,1430,341400,287900
1005,31500,40600,0.225,38370,1160,197400,158500
1007,63200,73500,0.314,43240,1440,252100,231900
1010,53000,63300,0.313,46520,1320,222700,215900
1013,52900,219200,0.313,10170,1260,214900,163400
1020,55500,196700,0.327,12400,1210,225200,171200
1027,75300,157100,0.348,22110,1320,282700,228800
1028,72800,151400,0.36,24080,1440,250600,232200
1030,75700,177000,0.398,20940,1290,250800,213800
1033,64400,83600,0.34,38040,1300,256800,214800
1034,66800,97200,0.352,35560,1260,260700,225500
1035,102000,148800,0.406,33490,1400,328500,281900
1036,61500,79700,0.371,44200,1360,229700,218200
1038,88400,120200,0.386,35870,1390,299900,256600
1039,74500,100600,0.325,35750,1580,281400,253800
1040,45600,164500,0.265,12120,1380,214700,172400
1050,41000,58800,0.287,33750,1250,205300,158900
1053,97100,154600,0.387,29850,1400,321600,273900
1054,57800,57500,0.334,54310,1260,226800,214700
1056,64300,141100,0.352,22150,1310,237700,204000
1057,48300,66300,0.324,40200,1340,201900,188700
1060,140500,463000,0.417,13150,1480,401500,334800
1062,100400,190900,0.398,24430,1340,328800,268700
1069,41400,78500,0.283,26530,1270,199200,168600
1071,45000,65900,0.316,36850,1270,199900,176400
1072,54200,69400,0.335,39170,1030,218000,186300
1073,83600,99600,0.382,42030,1430,271600,251900
1075,69500,146400,0.35,22050,1330,263300,212100
1077,68800,107900,0.351,33460,1350,253300,236400
1080,45800,129800,0.309,16180,1260,198500,156000
1081,50400,77100,0.346,32650,1170,200200,166900
1082,34600,61500,0.231,26300,1320,198400,161000
1083,34000,52800,0.252,31020,1240,181800,149000
1085,69500,144500,0.386,23850,1360,233400,204800
1089,69900,195800,0.388,16590,1330,235500,192300
1095,76200,122800,0.395,33700,1500,248300,240500
1096,55900,71800,0.291,38060,1270,263100,215100
1104,26700,149200,0.186,7030,1220,178300,129900
1106,132800,326100,0.501,19540,1630,315100,292200
1107,29500,138700,0.208,8640,1460,168200,132600
1108,28300,153800,0.194,7310,1480,170900,132800
1109,22400,122400,0.18,7290,1290,155800,113800
1118,36100,152600,0.232,9950,1200,202300,150100
1119,33300,141700,0.224,9910,1140,194400,144300
1128,41100,119400,0.261,15920,1170,214200,167100
1129,40600,135600,0.263,13430,1180,206000,158900
1151,31600,150500,0.23,8530,1250,172700,128000
1201,41400,130700,0.242,14450,1510,212300,179000
1220,33200,94800,0.236,15910,1470,177600,146600
1223,29800,52100,0.184,30910,1320,232500,201100
1225,41900,70000,0.257,32110,1490,214100,200600
1226,47400,114800,0.265,20140,1600,216800,200100
1230,81600,135400,0.326,31830,1540,324000,303600
1235,58200,100400,0.299,29380,1410,248700,226300
1237,39100,74100,0.244,27310,1460,212900,190500
1238,73000,138700,0.362,28090,1500,267500,247000
1240,94400,156600,0.359,33030,1700,318600,330500
1247,27600,70300,0.205,18240,1520,168400,143400
1253,63600,100800,0.262,32820,1390,325700,290400
1257,49600,62100,0.275,49010,1510,257300,254300
1262,133400,224200,0.422,32010,1590,396500,390200
1266,75800,109500,0.34,40220,1570,307200,297500
1267,77800,149500,0.338,27010,1600,287800,274500
1301,45500,112100,0.291,18650,1190,211600,165100
1331,24300,45600,0.211,24920,1060,172600,123800
1337,38800,45300,0.261,44960,1120,207000,179300
1344,37200,61000,0.26,29790,1130,191000,160500
1351,52900,81200,0.319,32090,1160,221800,187900
1360,36500,46500,0.233,40270,1200,209300,185100
1364,28600,50100,0.23,27470,1120,166700,137600
1370,55400,85200,0.294,31300,1300,241400,208300
1373,72700,106800,0.347,34310,1240,273100,242400
1375,67400,90800,0.322,38080,1300,261800,246600
1376,42500,127500,0.279,14840,1140,209000,155600
1420,39700,118800,0.255,14690,1240,206400,157400
1430,42500,64100,0.266,31950,1090,232200,177100
1431,34100,36600,0.242,52620,1240,203900,182600
1432,99500,219400,0.396,21630,1360,309600,275200
1436,29800,44800,0.208,32380,1270,193900,160400
1440,34100,85800,0.237,17960,1150,200200,149400
1450,129000,157600,0.437,44980,1700,349800,372600
1451,176500,155500,0.494,60320,1710,420600,435500
1452,41400,38100,0.261,56720,1190,227200,190100
1453,64200,162100,0.328,18030,1230,260900,204700
1460,140900,223900,0.437,32300,1510,392000,380100
1462,76300,104300,0.375,35980,1250,275200,229600
1463,81100,101000,0.364,43110,1490,281400,274400
1464,73300,109500,0.326,34790,1470,278100,268300
1468,31800,39000,0.217,41110,1150,204000,169500
1469,60600,104000,0.319,29890,1300,257100,223400
1473,61100,79500,0.314,37970,1240,257600,220600
1474,54000,72200,0.296,40080,1350,244800,224300
1475,34200,52700,0.244,31020,1150,196500,153500
1501,71000,157600,0.357,20800,1140,279000,210700
1503,110800,116800,0.431,48940,1380,329900,304300
1504,85100,151500,0.405,26440,1210,283100,226700
1505,112600,146800,0.423,38410,1490,322700,306100
1506,40800,55900,0.258,35790,1160,226500,177700
1507,57600,66200,0.28,43930,1370,263000,238200
1510,69600,211500,0.337,14580,1290,263600,210100
1515,47800,72900,0.277,31790,1110,247600,192000
1516,66900,106500,0.333,30220,1200,277800,221800
1518,76000,105700,0.328,35330,1420,282100,261200
1519,113300,168000,0.384,33130,1570,341400,333100
1520,83700,161800,0.351,24590,1370,298400,259900
1521,64100,132500,0.33,22410,1120,267300,206700
1522,78700,108400,0.372,36120,1310,279400,241700
1523,92400,138700,0.405,32490,1270,305400,255700
1524,53900,84700,0.294,30580,1250,248500,202400
1527,74600,149400,0.347,23410,1220,287800,231300
1529,69800,90500,0.348,38510,1340,263500,229500
1532,145700,241900,0.474,29090,1420,383600,340900
1534,85100,130500,0.359,31910,1410,289200,266300
1535,40900,63300,0.27,31090,1160,217300,167400
1536,107000,189000,0.394,27180,1420,332700,299400
1537,55200,81700,0.31,33220,1200,247400,201200
1540,56100,95200,0.314,28140,1130,254500,196000
1541,76100,68400,0.39,58860,1360,265500,237100
1542,51400,67000,0.285,38300,1240,246800,206900
1543,56600,76300,0.278,36440,1320,257400,230000
1545,151200,335600,0.456,20960,1490,390100,354200
1550,31500,73700,0.216,19480,1230,194900,152400
1560,111000,217900,0.377,24020,1550,329300,318500
1562,46200,77700,0.269,28180,1160,241700,187000
1564,89100,102600,0.4,44350,1350,293400,261100
1566,59300,85200,0.287,34270,1320,273400,233900
1568,106500,125500,0.391,42900,1540,326900,315800
1569,78700,104500,0.366,37160,1320,280200,243800
1570,65500,166800,0.322,17500,1240,263200,208300
1571,52600,93800,0.287,26620,1220,248100,199800
1581,171200,293100,0.452,28080,1710,421300,417700
1583,81200,136000,0.38,28710,1250,291600,236000
1585,43500,73600,0.269,27990,1120,230800,176000
1588,83100,166400,0.367,23460,1320,288700,243900
1590,91300,112100,0.389,40810,1360,302800,270000
1602,53100,214900,0.268,10580,1260,258600,194800
1603,42400,197900,0.245,9020,1220,226900,167500
1604,51100,246100,0.258,8680,1270,246900,190100
1605,51200,229900,0.263,9420,1270,247800,189300
1606,56100,248500,0.291,9560,1130,262300,187800
1607,47400,189000,0.256,10650,1210,234600,180800
1609,58200,173000,0.245,15090,1640,271800,244600
1610,35500,214300,0.187,6760,1620,206800,178400
1611,47200,93200,0.279,23670,1150,240900,181500
1612,63600,106100,0.303,28550,1410,270200,229600
1701,158200,375100,0.477,20050,1390,420100,361600
1702,148000,479400,0.458,13590,1420,391200,326800
1719,178400,204500,0.48,49170,1800,437400,480600
1720,214600,377900,0.516,28970,1720,480700,487200
1721,159400,300300,0.488,26660,1520,396800,376300
1730,296300,503100,0.594,30140,1620,590100,585900
1740,135700,122500,0.399,58960,1910,365200,415700
1741,235200,184300,0.541,79110,2030,501300,618800
1742,400500,651700,0.608,30990,1870,716000,762300
1746,154600,254900,0.462,31310,1590,403900,396600
1747,109900,206900,0.42,25020,1460,318100,283000
1748,174600,235800,0.438,39920,1930,434700,493100
1749,120000,267300,0.428,21460,1380,358400,308000
1752,115400,269300,0.402,20110,1430,355500,309200
1754,149700,469900,0.482,14160,1350,387700,316900
1756,105500,111600,0.39,48700,1550,321400,319800
1757,104600,249500,0.41,19070,1360,318700,266100
1760,264100,679800,0.565,17970,1560,540400,496200
1770,243400,256900,0.532,54770,1950,525500,607800
1772,189200,253400,0.462,37330,1800,447200,470000
1773,371300,368900,0.618,59080,2060,671000,809100
1775,151900,190000,0.458,43670,1670,402500,415600
1776,261100,346000,0.54,41400,2000,531200,608600
1778,273400,413800,0.545,34840,1760,578100,607100
1801,203700,702200,0.521,12780,1330,485800,395300
1803,223500,525400,0.536,20590,1450,510400,463700
1810,243900,401600,0.525,31320,1960,500000,550100
1821,154800,322200,0.473,23250,1410,408800,363700
1824,158500,261400,0.514,31390,1440,399800,366300
1826,113400,229800,0.437,23750,1380,326300,286900
1827,121400,122700,0.446,56850,1730,326500,359300
1830,98800,271300,0.385,16440,1490,302200,265800
1832,95300,227600,0.379,19410,1480,298900,267900
1833,144100,220500,0.458,33890,1590,379700,374100
1834,125900,208800,0.429,30990,1570,358000,346400
1835,113100,342600,0.404,14600,1470,328600,284400
1841,67700,431500,0.284,6050,1580,251000,210900
1843,85500,464700,0.347,7400,1350,291500,227500
1844,110400,285800,0.4,17730,1460,329300,290700
1845,180600,297300,0.469,30700,1830,426400,446400
1850,79600,493000,0.328,6230,1360,283000,214800
1851,95800,547100,0.356,6950,1460,306600,244800
1852,105800,526300,0.389,8230,1450,317600,255800
1854,95600,435400,0.357,9060,1430,311000,253600
1860,121100,206100,0.425,29140,1530,341500,324900
1862,148700,294000,0.467,24830,1460,393000,359000
1863,145400,298700,0.5,23410,1320,381100,321200
1864,199900,336000,0.509,30460,1590,467700,461400
1867,262300,732400,0.557,16380,1550,543400,494500
1876,156800,276900,0.52,28290,1360,394600,346100
1879,114700,156300,0.428,38780,1570,330400,325500
1880,236800,830400,0.525,12430,1470,524700,451100
1886,180000,277300,0.497,34040,1640,432500,436200
1887,176300,375200,0.493,22690,1390,445700,396400
1890,495200,1599700,0.584,13850,1960,839200,870000
1902,111400,758400,0.358,5510,1390,345400,268300
1904,128800,660000,0.406,7830,1290,380500,292500
1905,119800,721300,0.391,6430,1300,359300,272200
1906,176700,649700,0.478,11690,1370,439500,364500
1907,210800,907300,0.438,9770,1670,507100,464700
1908,290200,1179000,0.52,10150,1560,599000,528300
1913,127700,310200,0.429,18940,1450,354400,314200
1915,196500,676200,0.476,12580,1510,466900,410200
1921,168100,141100,0.506,72560,1860,408600,464100
1922,138600,192000,0.439,39060,1620,390200,392400
1923,194400,524500,0.512,17040,1540,438200,400600
1929,226600,402900,0.601,27670,1480,464600,425900
1930,214600,669900,0.52,14160,1360,496900,418400
1938,217900,457100,0.527,22010,1540,482500,438500
1940,261400,487000,0.535,26940,1840,535000,562700
1944,358400,679800,0.544,25990,1870,694800,745100
1945,395700,1675500,0.61,9890,1680,669000,623700
1949,194700,279500,0.493,37130,1790,444800,483100
1950,276600,1040900,0.54,10990,1480,570800,486300
1951,244500,521200,0.529,21070,1450,537000,476300
1952,158000,310500,0.49,22140,1340,380900,321700
1960,169900,610500,0.467,12080,1390,433100,362700
1966,272200,792300,0.582,15260,1340,565100,476600
1969,136200,179600,0.449,41460,1610,375300,380800
1970,161100,875300,0.418,7200,1430,425800,346000
1982,208300,381100,0.521,26890,1570,475400,451300
1983,192100,251700,0.533,41780,1690,438100,453100
1984,227500,344400,0.556,34520,1740,473600,491100
1985,165900,202200,0.489,45610,1790,398900,433200
2019,100200,192100,0.386,25530,1430,330300,291800
2021,218700,461100,0.505,22940,1710,492300,480800
2025,351400,633600,0.527,27930,2100,670200,771000
2026,216700,795800,0.496,11770,1430,523600,433900
2030,368000,435400,0.559,47130,2480,647100,842900
2032,210900,524200,0.506,19070,1740,462800,453300
2035,156900,258400,0.472,31040,1640,399800,389900
2038,158400,274500,0.477,29240,1660,394100,386500
2043,365400,656400,0.56,25730,1830,680700,692700
2045,206500,1163600,0.489,7400,1490,475000,404200
2048,151800,262200,0.467,29060,1540,386400,374500
2050,193300,365000,0.498,23990,1580,439700,403400
2052,253200,402100,0.527,32670,1920,531000,571800
2053,136700,214100,0.44,33110,1650,375900,369900
2054,134700,219500,0.438,31300,1550,381000,359800
2056,155100,206900,0.456,40510,1810,395800,422200
2061,232500,263500,0.507,43060,1860,492300,513700
2062,210100,752700,0.525,12230,1450,484200,402500
2066,268700,540600,0.552,22480,1680,530500,505300
2067,205600,327900,0.511,32300,1710,474800,475500
2071,168500,246600,0.474,36220,1740,427000,432500
2072,132600,320200,0.427,19560,1460,386100,336700
2081,195600,355600,0.503,27640,1700,456900,448900
2090,327900,592700,0.586,27540,1820,625400,639900
2093,151300,219900,0.465,35690,1660,387600,387300
2114,1419600,19162600,0.708,2200,1280,2065000,1364300
2116,1502800,20467700,0.646,2220,1260,2379100,1613400
2118,1161500,19925700,0.566,1730,1340,2016900,1393900
2119,171200,1599300,0.382,3620,1540,443100,348600
2120,415600,4738400,0.52,2790,1540,759900,583000
2121,142900,1087300,0.367,4760,1910,353100,323600
2122,206000,1681900,0.44,4340,1520,481800,380100
2124,181300,1370000,0.414,4820,1610,442900,366100
2125,204800,1815200,0.411,3890,1640,477600,394000
2126,145200,1014000,0.411,5350,1380,395900,302800
2127,455400,7176800,0.565,1910,1200,838100,555700
2128,232500,2614500,0.434,2870,1440,527700,396000
2129,702500,10262700,0.638,2070,1250,1107200,765000
2130,384600,2907800,0.523,4690,1440,766100,597900
2131,229900,1626700,0.48,5210,1270,548800,404600
2132,259600,1627400,0.513,6120,1250,597700,445700
2134,314700,2859000,0.49,3770,1440,662900,504800
2135,320200,2427400,0.496,4720,1400,693500,529700
2136,165000,1008200,0.462,6280,1190,439300,314500
2138,1013700,6413400,0.644,6070,1790,1512000,1387200
2139,781300,7722800,0.613,3540,1590,1270600,1024800
2140,713000,5947300,0.606,4380,1580,1190200,987300
2141,603000,7887400,0.584,2510,1440,1054000,778900
2143,505700,4552700,0.573,3970,1650,875100,724400
2144,542900,4926500,0.569,3980,1680,943500,792100
2145,348900,3211600,0.497,3890,1610,710100,577000
2148,194100,1296200,0.458,5720,1400,480200,371100
2149,175300,1485300,0.427,4320,1440,451400,344600
2150,158100,1353900,0.422,4080,1540,377900,300100
2151,168500,1180600,0.437,5300,1360,425600,329200
2152,214300,1443600,0.502,5580,1400,471800,368700
2155,282900,1863300,0.539,5840,1430,587700,463800
2169,208400,1177300,0.493,7040,1380,495100,386100
2170,239500,1565500,0.5,5940,1410,551800,426700
2171,255000,1634000,0.524,6060,1370,564800,434300
2176,286200,1421700,0.545,8190,1490,590800,490300
2180,237700,935600,0.516,10910,1470,531100,454300
2184,201200,695500,0.47,12650,1510,496500,429800
2186,302700,906100,0.533,14670,1700,622600,572900
2188,159500,552600,0.475,12610,1320,424800,336800
2189,154600,523600,0.475,12910,1330,410000,326500
2190,160600,455900,0.456,15850,1410,429700,363700
2191,169000,830000,0.479,8290,1260,442000,329900
2301,84900,343100,0.329,10650,1430,305900,254500
2302,83800,314600,0.348,11560,1270,302900,239500
2322,112500,257600,0.424,20690,1360,346300,288400
2324,117900,173700,0.392,32230,1550,352600,328100
2330,97000,110400,0.378,42720,1390,325100,286300
2332,254400,314900,0.489,38760,1870,544400,573400
2333,115600,173400,0.415,31600,1460,340100,303000
2338,111100,150200,0.411,35120,1430,332200,294700
2339,186400,243900,0.475,36910,1700,444600,434900
2341,122800,162000,0.435,36420,1450,348900,311400
2343,116900,327800,0.422,15950,1310,355100,284500
2346,96600,121600,0.384,37830,1470,304900,275000
2347,111600,115100,0.409,47170,1480,331000,304500
2351,132000,255700,0.427,23800,1480,366900,326900
2356,164200,260200,0.48,31960,1640,393600,397600
2359,144700,194800,0.444,35480,1570,379700,357300
2360,132800,257900,0.425,23400,1480,364600,326300
2364,144100,217000,0.443,31110,1590,371900,349900
2367,106800,99900,0.384,53480,1550,338700,319600
2368,124500,418800,0.427,13190,1280,379400,296800
2370,122800,311500,0.437,17680,1390,346000,289600
2375,152100,221600,0.513,35810,1460,370000,354700
2379,121900,186200,0.431,30960,1490,341400,307100
2382,122500,309300,0.418,17790,1430,350900,302200
2420,483100,1089300,0.625,21130,1860,816300,845200
2421,481000,1257700,0.619,17740,1810,824700,827200
2445,826600,3207200,0.555,10720,2370,1300600,1423400
2446,942600,5517400,0.602,6730,2320,1345600,1416000
2451,262000,1156400,0.531,9340,1370,577500,467100
2452,284800,1087300,0.523,11270,1590,600800,537500
2453,274000,1549500,0.531,7040,1430,586000,471400
2458,524700,2203600,0.647,10060,1720,859600,787100
2459,620300,2259000,0.674,12000,1840,950400,922600
2460,538200,2172400,0.683,10510,1650,865200,767600
2461,541300,2240800,0.663,10240,1630,893000,795200
2462,531800,2102900,0.694,10930,1590,854700,759800
2464,430700,1641200,0.693,11110,1360,761200,603600
2465,556100,2125800,0.652,11410,1730,895300,853700
2466,509900,1917700,0.661,11450,1680,835400,762200
2467,688800,2262400,0.619,13560,2070,1061600,1133500
2468,675800,2232600,0.658,13610,2020,1018500,1059800
2472,381800,2422800,0.6,6140,1510,696200,569900
2474,384600,2160100,0.563,7110,1500,748500,626100
2476,410100,2368300,0.586,6890,1510,768200,639400
2478,533800,2373800,0.627,9350,1690,904600,813100
2481,681300,1746800,0.659,18480,2230,982400,1125400
2482,633100,1892900,0.688,15170,1950,921300,957800
2492,510200,1396400,0.64,16620,2010,792000,832500
2493,515200,585100,0.608,50040,2350,855200,1106100
2494,470000,1683000,0.658,12300,1760,759500,722300
2532,152400,351800,0.508,20420,1330,407700,315900
2534,255100,424000,0.496,29530,1920,553700,579600
2535,779500,865000,0.95*,50270,1230,1286700,918800
2536,164900,359000,0.507,21060,1340,440600,342200
2537,168600,258600,0.49,31640,1570,446300,383000
2538,87500,290500,0.383,13120,1140,306200,228100
2539,611500,1178800,0.836,25250,1400,1028700,817600
2540,299900,620100,0.626,22390,1510,603800,509100
2543,313100,775700,0.502,18280,1460,781200,648400
2554,927200,2089700,0.668,19840,1620,1527800,1424400
2556,245100,551400,0.562,20330,1510,541600,457700
2557,372200,903000,0.785,18630,1250,718000,491700
2558,123600,830800,0.416,6020,1290,361500,276100
2559,217100,524100,0.604,18660,1310,490900,371800
2561,111200,219200,0.4,24000,1660,350500,302000
2562,155200,329300,0.474,21750,1520,404700,346800
2563,135800,262200,0.452,24090,1470,393200,320800
2564,1027800,2676000,0.72,17110,1580,1661000,1460000
2568,377900,601100,0.795,31750,1310,747400,551000
2571,99700,293100,0.397,14750,1240,319800,250200
2576,86300,127200,0.372,31760,1340,290700,249000
2601,139500,462600,0.491,13360,1220,400800,289200
2630,274800,367700,0.64,35990,1570,553400,474600
2631,212800,355900,0.549,28480,1400,534800,423600
2632,159900,356000,0.507,20950,1380,430300,337900
2633,448700,927100,0.702,22660,1490,801900,687500
2635,186600,300000,0.522,30380,1480,476900,401200
2638,291700,642300,0.6,20990,1410,632300,515500
2639,166000,652100,0.507,10800,1100,487600,318600
2641,435200,640100,0.461,32560,2520,806200,1038300
2642,219300,411200,0.58,25530,1300,561800,415900
2644,109500,198100,0.42,26540,1410,360100,287100
2645,144000,292300,0.441,23090,1350,452700,351600
2646,354200,890500,0.628,17760,1460,684300,577700
2647,571400,1314100,0.542,19890,2570,887000,1106000
2648,125900,196300,0.44,31490,1440,397800,322400
2649,221500,522800,0.574,19200,1440,481100,401500
2650,451700,699200,0.649,31660,1670,854800,782800
2652,287000,447100,0.464,30990,1850,698000,686200
2653,299100,428500,0.592,34520,1530,678400,573500
2655,343800,633800,0.658,26300,1630,613300,581900
2657,609400,2414300,0.693,10490,1300,1088700,839200
2659,303800,753900,0.64,18340,1320,649000,496400
2660,153400,407700,0.491,17070,1250,449400,325100
2664,139900,416900,0.467,15030,1230,429400,308100
2666,335400,440800,0.671,38010,1420,717800,572900
2667,270400,458000,0.558,28160,1360,683400,531000
2668,154000,188500,0.488,41370,1610,420900,366500
2670,239800,785500,0.582,13380,1240,564700,414800
2671,254700,682600,0.606,16750,1340,552000,432900
2672,239300,686200,0.43,15570,1750,596200,570500
2673,148100,464800,0.49,14190,1190,436600,308900
2675,144500,296800,0.462,22930,1390,429600,338100
2702,91500,115500,0.391,41960,1370,301300,284300
2703,101100,253800,0.411,18570,1320,304200,263500
2715,93300,139500,0.387,34270,1380,282000,283300
2717,96200,116400,0.418,43650,1370,291200,279000
2718,89000,157800,0.392,28010,1260,293400,258700
2719,109000,350600,0.442,13550,1200,315400,246600
2720,83600,363500,0.362,9610,1430,266100,221500
2721,72900,392400,0.324,7520,1360,249500,209500
2723,73800,443400,0.337,6610,1400,246300,199700
2724,73900,414100,0.337,7150,1390,243300,201600
2725,93100,318500,0.432,12810,1160,282600,216600
2726,101600,312200,0.429,14590,1230,302500,243600
2738,187000,330300,0.475,26060,1630,437300,416000
2739,178300,336800,0.481,24030,1540,430000,386600
2740,61800,427700,0.309,5560,1360,231000,177000
2743,86600,177800,0.381,23030,1310,284700,246500
2744,65200,459700,0.318,5500,1380,236300,182600
2745,76300,368300,0.352,8490,1210,267700,203800
2746,60500,415200,0.297,5630,1510,224100,180600
2747,106000,187400,0.434,27650,1320,308800,273900
2748,152500,335800,0.479,21560,1400,381100,346600
2760,127000,276500,0.432,21940,1460,349300,322400
2762,136500,251100,0.466,27060,1530,360600,335000
2763,128900,297800,0.444,20590,1440,350900,317400
2764,95300,139300,0.426,35380,1300,291500,265400
2766,115200,181500,0.432,32060,1410,329500,309400
2767,111900,173500,0.402,33080,1530,327800,327800
2769,100700,100200,0.418,56500,1500,299400,310600
2770,121100,111100,0.441,54490,1600,328200,315200
2771,102100,195500,0.411,25470,1330,313800,277900
2777,96600,195100,0.421,23560,1230,297000,250900
2779,91200,103000,0.395,48630,1360,296500,291200
2780,84300,189000,0.375,21010,1310,281300,243000
2790,137400,182700,0.49,39000,1370,351400,334100
2804,62200,76800,0.4,37840,960,282900,166800
2806,165500,501600,0.566,16790,1350,435100,341600
2807,546800,571000,0.797,45000,1100,1124500,740100
2808,75800,117500,0.453,29500,910,307800,175600
2809,131200,413400,0.538,14690,1170,380600,258900
2812,85800,99700,0.458,40580,1130,303600,202900
2813,253700,357400,0.731,32010,1080,538500,359400
2814,59600,106200,0.399,29010,930,252700,177400
2816,70500,162500,0.456,21120,910,264100,172700
2817,66100,77300,0.429,50140,1090,252200,207600
2818,124900,216200,0.469,29620,1480,349400,313600
2822,86200,106800,0.44,37470,1010,335500,208600
2825,54100,71600,0.426,45140,1010,223900,174000
2826,71100,154100,0.459,22140,950,249400,170700
2827,53800,56800,0.431,59710,1050,226900,180600
2828,94200,238700,0.463,19030,1110,301700,225400
2830,56800,84100,0.394,37750,1060,237400,184700
2831,62600,93300,0.384,37800,1190,249100,210500
2832,69300,74000,0.388,44010,1050,296600,192800
2835,249500,552300,0.642,22850,1250,584000,451100
2837,203200,290500,0.654,40790,1200,533700,415900
2838,72100,183900,0.392,18840,1160,262700,202700
2839,53100,80700,0.353,36420,1100,239300,191000
2840,271500,1369300,0.594,7430,1230,584300,393200
2842,172100,463800,0.608,17520,1170,438800,306800
2852,122900,234500,0.503,23600,1150,372100,252300
2857,57900,80500,0.399,42070,1090,244500,194700
2858,52600,103000,0.35,26620,1040,236300,179800
2859,63200,122000,0.406,26180,1020,248500,180600
2860,63400,416000,0.346,5640,1130,239100,155700
2861,61400,393500,0.358,5830,930,251700,146900
2863,31100,191200,0.212,6070,1340,171200,125700
2864,82600,214400,0.41,18100,1120,289100,217500
2865,88600,190800,0.411,23480,1300,293500,250500
2871,134800,335700,0.556,19810,1170,387100,274500
2872,89100,266200,0.506,14990,860,342500,181000
2874,157200,238200,0.504,30200,1380,422700,327700
2878,87600,180300,0.498,25000,1070,310300,207500
2879,153400,310700,0.567,22040,1100,423900,277400
2881,112700,191000,0.475,26980,1210,354200,249300
2882,248700,810100,0.674,13380,1100,546700,369300
2885,101000,320200,0.489,14070,1090,334400,211700
2886,73700,262200,0.429,12340,930,277500,173300
2888,69700,314000,0.425,9150,870,270100,155100
2889,65800,261500,0.424,10640,840,261100,150700
2891,198500,427200,0.643,20960,1130,451100,319600
2892,93500,96900,0.438,45790,1190,331000,232300
2893,58300,220000,0.385,11400,960,239700,149700
2895,48000,203500,0.321,9760,1090,210800,142200
2896,65000,106700,0.373,33260,1240,259600,218500
2898,83300,93800,0.479,41760,1030,302300,187700
2903,168700,1408200,0.478,4110,1470,368600,277800
2904,60200,302100,0.347,7920,970,251300,158300
2905,67300,462700,0.353,5430,1150,248000,163600
2906,251500,1525500,0.553,6200,1540,490200,392800
2907,39900,287700,0.262,4960,1260,184900,125300
2908,55800,396300,0.323,5040,1090,225600,141900
2909,46800,337000,0.273,4940,1150,211400,140100
2910,62200,398100,0.369,5780,950,244500,143300
2911,62400,312100,0.352,7920,1000,256900,161200
2914,59600,325200,0.339,7110,950,259100,156600
2915,70500,337600,0.395,8350,900,274600,163800
2916,81400,386000,0.384,8560,1040,300000,197400
2917,80100,146900,0.431,28550,1120,279900,223300
2919,58300,157900,0.362,17020,980,250100,170300
2920,72300,349600,0.392,8400,970,273300,171900
2921,86000,183700,0.388,23810,1340,296900,259100
3031,91500,101600,0.429,45830,1430,273500,249200
3032,109200,92300,0.441,53740,1480,297300,258500
3033,71600,58800,0.324,65370,1680,246400,272800
3034,73300,69000,0.413,48090,1070,271200,184300
3036,83600,75400,0.291,50200,2080,272200,298500
3037,93600,105100,0.418,39860,1180,304100,230100
3038,89900,108000,0.437,37290,1180,289900,211500
3042,74200,81800,0.383,40880,1160,268600,200400
3044,72100,73500,0.404,44220,1080,262900,184700
3045,68000,90100,0.409,37200,1050,245700,188300
3046,58300,79600,0.39,34790,970,231300,163000
3047,39100,45100,0.312,44190,1020,190400,146300
3049,123600,112800,0.451,57400,1630,321400,329800
3051,89400,124700,0.446,35420,1170,279500,227200
3052,90100,93200,0.421,50700,1410,274200,257900
3053,101200,90400,0.324,50910,2040,312400,326100
3054,95800,151900,0.445,30570,1290,282500,239800
3055,61700,92500,0.346,32320,1150,244000,198700
3057,70600,60500,0.356,62360,1480,244500,243000
3060,83600,369500,0.434,9560,1040,270000,187000
3062,98300,250700,0.415,17900,1200,308700,248200
3063,94800,267600,0.418,15970,1160,304900,234600
3064,93100,339700,0.433,11910,1150,288900,214600
3070,64100,60900,0.334,55080,1380,232200,230900
3071,36800,38900,0.272,48410,1120,185300,158900
3076,93000,96500,0.422,49850,1370,283900,261700
3077,63600,71700,0.382,39850,1000,254600,171800
3079,116200,188800,0.469,27360,1220,339300,253100
3082,44900,47700,0.348,48080,960,200700,151000
3086,52600,71000,0.362,36020,1110,206000,162000
3087,150400,156500,0.475,43280,1630,362400,327300
3102,68300,273300,0.392,10670,1030,244600,170600
3103,67900,317800,0.4,8980,990,245100,163600
3104,77600,272500,0.388,12410,1180,264700,200200
3106,75200,103900,0.386,34650,1170,264800,213900
3109,72300,193000,0.397,16770,1010,259000,186900
3110,105100,100500,0.417,55020,1570,305200,304100
3216,48900,59100,0.315,39830,1010,239100,171500
3217,72800,109500,0.475,31460,1020,227500,166700
3218,52000,41100,0.275,50360,1470,230300,172600
3220,80600,95400,0.393,35030,1210,287300,194900
3221,48700,62800,0.349,36810,970,225400,152100
3222,66300,89600,0.385,34860,1120,242200,186500
3223,32200,36100,0.238,44040,1080,208100,153700
3224,40000,56000,0.29,34260,1030,203000,151700
3225,55400,101000,0.283,22970,1280,264900,188400
3226,114400,105100,0.337,43730,1320,441300,312800
3229,48400,57100,0.28,41290,1250,236000,193200
3234,55300,58900,0.354,45980,1060,229800,175700
3235,33100,61900,0.279,24500,940,189400,125100
